SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
BSL,BSL Limited,EQ,27-JUL-1995
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999
BTML,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023
BUILDPRO,Shankara Buildpro Limited,EQ,09-JAN-2026
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014
BVCL,Barak Valley Cements Limited,EQ,23-NOV-2007
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021
CANBK,Canara Bank,EQ,23-DEC-2002
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-OCT-2025
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017
CAPILLARY,Capillary Technologies India Limited,EQ,21-NOV-2025
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-FEB-2024
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012
CARRARO,Carraro India Limited,EQ,30-DEC-2024
CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014
CCAVENUE,AvenuesAI Limited,EQ,04-APR-2016
CCCL,Consolidated Construction Consortium Limited,EQ,15-OCT-2007
CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-FEB-2015
CCL,CCL Products (India) Limited,EQ,07-JUN-2004
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017
CEATLTD,CEAT Limited,EQ,01-FEB-2008
CEIGALL,Ceigall India Limited,EQ,08-AUG-2024
CEINSYS,Ceinsys Tech Limited,EQ,19-FEB-2026
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006
CELLO,Cello World Limited,EQ,06-NOV-2023
CEMPRO,Cemindia Projects Limited,EQ,10-FEB-1999
CENTENKA,Century Enka Limited,EQ,10-MAY-1995
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004
CENTRALBK,Central Bank of India,EQ,21-AUG-2007
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007
CESC,CESC Limited,EQ,08-FEB-1995
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022
CHOICEIN,Choice International Limited,EQ,08-APR-2022
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007
CIFL,Capital India Finance Limited,EQ,17-APR-2025
CINELINE,Cineline India Limited,EQ,13-JUN-2012
CINEVISTA,Cinevista Limited,EQ,02-MAY-2000
CIPLA,Cipla Limited,EQ,08-FEB-1995
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ,02-MAR-2026
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021
CMLL,Caliber Mining and Logistics Limited,EQ,24-JUL-2026
CMPDI,Central Mine Planning & Design Institute Limited,EQ,30-MAR-2026
CMRGREEN,CMR Green Technologies Limited,EQ,10-JUN-2026
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021
CNL,Creative Newtech Limited,EQ,05-AUG-2019
COALINDIA,Coal India Limited,EQ,04-NOV-2010
COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017
COCKERILL,John Cockerill India Limited,EQ,20-APR-2026
COFORGE,Coforge Limited,EQ,30-AUG-2004
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007
COMFINTE,Comfort Intech Limited,EQ,20-APR-2026
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012
COMSYN,Commercial Syn Bags Limited,EQ,23-JAN-2024
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019
CONTROLPR,Control Print Limited,EQ,24-JUN-2016
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996
CORDELIA,Waterways Leisure Tourism Limited,EQ,01-JUL-2026
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995
CORONA,CORONA Remedies Limited,EQ,15-DEC-2025
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009
